date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:54	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-fc151e00723a794d;gz%22	https://tfhtml.themepul.com/robots.txt		(from )
22:13:55	87903/87903	---MCZ	200	added ('OK')	text/html	etag:%221575f-6550755a-a104e181b9d575d2;gz%22	https://tfhtml.themepul.com/fitmas/	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/index.html	(from )
22:13:56	1096/1096	---M--	200	added ('OK')	image/png	etag:%22448-655075a0-960c1f39d4c6e265;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/favicons/favicon.png	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/assets/img/favicons/favicon.png	(from https://tfhtml.themepul.com/fitmas/)
22:13:56	760/760	---M-Z	200	added ('OK')	application/json	etag:%222f8-655075a0-6614ba5f3826163e;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/favicons/manifest.json	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/assets/img/favicons/manifest.json	(from https://tfhtml.themepul.com/fitmas/)
22:13:57	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22119f-68074818-fc151e00723a794d;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/favicons/ms-icon-144x144.png	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/assets/img/favicons/ms-icon-144x144.png	(from https://tfhtml.themepul.com/fitmas/)
22:13:59	194251/194251	---M-Z	200	added ('OK')	text/css	etag:%222f6cb-655075a3-fc79132c6eb150a6;gz%22	https://tfhtml.themepul.com/fitmas/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/assets/css/bootstrap.min.css	(from https://tfhtml.themepul.com/fitmas/)
22:14:00	454861/454861	---M-Z	200	added ('OK')	text/css	etag:%226f0cd-655075a4-e0f3199605b01421;gz%22	https://tfhtml.themepul.com/fitmas/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/assets/css/fontawesome.min.css	(from https://tfhtml.themepul.com/fitmas/)
22:14:00	5272/5272	---M-Z	200	added ('OK')	text/css	etag:%221498-655075a3-37481ad353d5522d;gz%22	https://tfhtml.themepul.com/fitmas/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/assets/css/magnific-popup.min.css	(from https://tfhtml.themepul.com/fitmas/)
22:14:01	1240/1240	---M-Z	200	added ('OK')	text/css	etag:%224d8-655075a4-bb607e3b79600af2;gz%22	https://tfhtml.themepul.com/fitmas/assets/css/slick.min.css	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/assets/css/slick.min.css	(from https://tfhtml.themepul.com/fitmas/)
22:14:01	295663/295663	---M-Z	200	added ('OK')	text/css	etag:%22482ef-655075a4-cbbd4b64a1b1dd32;gz%22	https://tfhtml.themepul.com/fitmas/assets/css/style.css	C:/My%20Web%20Sites/Alpha3/tfhtml.themepul.com/fitmas/assets/css/style.css	(from https://tfhtml.themepul.com/fitmas/)
